instagram,nazwa,miasto,status,zrodlo,uwaga
"@benvenuti_pizza","Benvenuti","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@proza_bistro","PROZA Bistro Pizza & Pasta","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@americandreamradom","American Dream Restaurant","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@lubudububar","Łubu Dubu Burger House","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@faraon_kebab_radom","Faraon Kebab","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@kebab_u_pajdy_radom","Kebab u Pajdy","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@samiraradom","Samira Kebab Cafe Bar","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@czasnachleb","Czas na Chleb","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@piekarnia.cukiernia.gajda","Piekarnia Cukiernia Gajda","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
"@piekarniakazana","Piekarnia Kazana","Radom","NIEZWERYFIKOWANE","instagram.com login-wall; imginn.com/picuki.com 403; dumpor.io JS-wall","Instagram zwraca login-wall dla niezalogowanych zapytan (potwierdzone na probce: benvenuti_pizza, proza_bistro, americandreamradom, lubudububar, faraon_kebab_radom - zawsze identyczna generyczna strona logowania bez danych profilu); mirrory imginn.com i picuki.com zwracaja 403 Forbidden; dumpor.io wymaga JS-owej weryfikacji (Cloudflare), niedostepnej dla fetchera. Metoda 3 (restaurantguru/strona WWW) sprawdzona na probce - niewiarygodna/nieskalowalna w limicie czasu (np. restaurantguru zwraca 404 dla wyszukiwan, a strony WWW lokali rzadko linkuja bezposrednio do IG). Brak potwierdzenia w czasie 15 minut."
