instagram,nazwa,miasto,nisza,szablon_dm,followers
@tutti.gusti.lublin,Tutti Gusti Lublin Pizza Pasta,Lublin,pizza,PIZZA,1000
@abcpizzalublin,ABC Pizza Lublin,Lublin,pizza,PIZZA,1740
@pizzalover_pl,Pizza Lover,Lublin,pizza,PIZZA,13000
@canottolublin,Canotto,Lublin,pizza,PIZZA,3486
@lavistapizza,La Vista Pizza,Lublin,pizza,PIZZA,1313
@vivalapizza.lublin,Viva La Pizza,Lublin,pizza,PIZZA,
@rykowiskolublin,Pizzeria Rykowisko,Lublin,pizza,PIZZA,4385
@maxipizzalublin,Maxi Pizza Lublin,Lublin,pizza,PIZZA,430
@pizzerialastregalublin,Pizzeria La Strega,Lublin,pizza,PIZZA,279
@pizzaraggio7,Pizza Raggio 7,Lublin,pizza,PIZZA,994
@mimi_pizza_lublin,Mimi Pizza,Lublin,pizza,PIZZA,374
@encepencepizzeria,EncePence Pizzeria,Lublin,pizza,PIZZA,2516
@la_pizza_dozynkowa,La Pizza Dozynkowa,Lublin,pizza,PIZZA,188
@biancaeliviapizza,Bianca e Livia BeL Pizza Napoletana,Lublin,pizza,PIZZA,4272
@a_pizza_lublin,'a pizza,Lublin,pizza,PIZZA,
@infinito_zamosc_,Infinito Restauracja & Pizzeria,Zamość,pizza,PIZZA,
@piazzagrandezamosc,Piazza Grande,Zamość,pizza,PIZZA,
@najlepiej_pizza,Najlepiej Pizza & Bar,Zamość,pizza,PIZZA,
@oliopizzaitaliana,OLIO pizza Italiana,Puławy,pizza,PIZZA,
@italian_garden_pulawy,Italian Garden,Puławy,pizza,PIZZA,
@pizzeriaroma_bp,Pizzeria Roma,Biała Podlaska,pizza,PIZZA,
@michele_arcangelo_pizzeria,Michele Arcangelo Pizzeria,Biała Podlaska,pizza,PIZZA,3843
@dlaprzyjaciol,Dla Przyjaciół Diana,Biała Podlaska,pizza,PIZZA,3119
@itallo_pizza,Itallo Pizza,Lubartów,pizza,PIZZA,
@franco_ristorante,Franco Ristorante,Łęczna,pizza,PIZZA,
@country_pizzeria_restauracja,Pizzeria Restauracja COUNTRY,Biłgoraj,pizza,PIZZA,
@pizzeriaveronabilgoraj,Pizzeria Verona,Biłgoraj,pizza,PIZZA,
@tutto_bene_bilgoraj,Tutto Bene,Biłgoraj,pizza,PIZZA,
@diavolo_tomaszowlubelski,Diavolo,Tomaszów Lubelski,pizza,PIZZA,
@niebo_roztocze,#NIEBO Roztocze,Tomaszów Lubelski,pizza,PIZZA,1939
@valentinopizzapl,Resto & Pizza Valentino,Tomaszów Lubelski,pizza,PIZZA,468
@milano.krasnystaw,Milano,Krasnystaw,pizza,PIZZA,
@johnnysmashburger.pl,Johnny Smash Burger,Lublin,burgery,BURGERY,1293
@tuburgerlublin,TuBurger Lublin,Lublin,burgery,BURGERY,
@smash_chickz,Smash&Chickz,Lublin,burgery,BURGERY,4297
@munchieslublin,Munchies Lublin,Lublin,burgery,BURGERY,3482
@lava_lublin,Lava Lublin,Lublin,burgery,BURGERY,
@ranch.burger,Ranch Burger,Lublin,burgery,BURGERY,
@encantolublin,Encanto Bistro,Lublin,burgery,BURGERY,
@copacabana__burger,CopaCabana Burger,Zamość,burgery,BURGERY,
@tauroburger,Tauro Burger,Zamość,burgery,BURGERY,
@strefaburgera,Alladyn Kebab & Strefa Burgera,Zamość,burgery,BURGERY,260
@byczekbistro,Byczek Bistro,Puławy,burgery,BURGERY,
@burger_krowia_wyspa,Burger Krowia Wyspa,Puławy,burgery,BURGERY,
@smashandchicken,Smash&Chicken Puławy,Puławy,burgery,BURGERY,
@king_fryt,King Fryt,Chełm,burgery,BURGERY,372
@burgerbarbiala,BurgerBar Biała Podlaska,Biała Podlaska,burgery,BURGERY,
@kuzniaswidnik,Kuźnia – Burgery & Pizza,Świdnik,burgery,BURGERY,
@streetszef,Streetszef,Lublin,kebab/street food,KEBAB / STREET FOOD,
@alibaba_kebab_lublin,Alibaba Kebab,Lublin,kebab/street food,KEBAB / STREET FOOD,29
@dostanakebab.lublin,Dostana Kebab,Lublin,kebab/street food,KEBAB / STREET FOOD,401
@kebab.salsa.lublin,Kebab Salsa,Lublin,kebab/street food,KEBAB / STREET FOOD,
@habibykebab,Habiby Kebab Lublin,Lublin,kebab/street food,KEBAB / STREET FOOD,
@sahara_lublin,Sahara Kebab & Pizza,Lublin,kebab/street food,KEBAB / STREET FOOD,
@okebab_okebab,O! Kebab Lublin,Lublin,kebab/street food,KEBAB / STREET FOOD,288
@kebab_turecki,Kebab Turecki Lublin,Lublin,kebab/street food,KEBAB / STREET FOOD,457
@maestrokebab_lublin,Maestro Kebab,Lublin,kebab/street food,KEBAB / STREET FOOD,
@jalapenokebablublin,Jalapeno Kebab Lublin,Lublin,kebab/street food,KEBAB / STREET FOOD,
